Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
225010,Grand Dadoi,"Cone of Tousside, Tarso",,,,,,,,,,,,,,,,,,,,,,,
360170,Grand Etang,Crater of St. Catherine,,,,,,,,,,,,,,,,,,,,,,,
233020,Grand Pays Brule,"Synonym of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
210020,Grand Sarcoui,Dome of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
360101,Grand Soufrière,"Synonym of Desolation, Valley of",,,,,,,,,,,,,,,,,,,,,,,
210020,"Grand Suchet, Le",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
383030,"Grande de Güímar, Montaña",Cone of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
360060,"Grande Découverte, La",Stratovolcano of Soufrière Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,
341060,"Grande la Piedad, Cerro",Shield volcano of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
234001,Grande Marmite,Crater of Amsterdam Island,,,,,,,,,,,,,,,,,,,,,,,
360101,Grande Soufrière Hills,"Stratovolcano of Watt, Morne",,,,,,,,,,,,,,,,,,,,,,,
343041,"Grande, Cerro",Dome of Coatepeque Caldera,,,,,,,,,,,,,,,,,,,,,,,
341060,"Grande, Cerro",Pyroclastic cone of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
341061,"Grande, Cerro",Cone of Zitácuaro-Valle de Bravo,,,,,,,,,,,,,,,,,,,,,,,
341060,"Grande, Cerro",Shield volcano of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
353011,"Grande, Cerro",Tuff cone of Ecuador,,,,,,,,,,,,,,,,,,,,,,,
344080,"Grande, Cerro","Cone of Pilas, Las",,,,,,,,,,,,,,,,,,,,,,,
342110,"Grande, Cerro",Stratovolcano of Pacaya,,,,,,,,,,,,,,,,,,,,,,,
343071,"Grande, Cerro",Dome of Apastepeque Field,,,,,,,,,,,,,,,,,,,,,,,
384010,"Grande, Pico",Synonym of Fogo,,,,,,,,,,,,,,,,,,,,,,,
382081,"Grande, Pico",Cone of Picos Volcanic System,,,,,,,,,,,,,,,,,,,,,,,
353050,"Grande, Volcan","Synonym of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
341060,"Grande, Volcán",Stratovolcano of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
343050,"Grandes Bloques, Loma de",Pyroclastic cone of San Salvador,,,,,,,,,,,,,,,,,,,,,,,
233020,Grandes Pentes,"Synonym of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
233020,"Grands Bois, Piton des","Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
234070,"Grange Kop, La",Tuff cone of Marion Island,,,,,,,,,,,,,,,,,,,,,,,
327120,Grants Malpais,Synonym of Zuni-Bandera,,,,,,,,,,,,,,,,,,,,,,,
372070,Grasleysufjöll,Crater Row of Hekla,,,,,,,,,,,,,,,,,,,,,,,
324020,Grassy,Pyroclastic cone of Craters of the Moon,,,,,,,,,,,,,,,,,,,,,,,
263310,Grati,Maar of Tengger Caldera,,,,,,,,,,,,,,,,,,,,,,,
390050,Gray,Cone of Seal Nunataks Group,,,,,,,,,,,,,,,,,,,,,,,
323010,Gray Butte,Dome of Shasta,,,,,,,,,,,,,,,,,,,,,,,
332010,Great Crack,Fissure vent of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
222160,Great Domberg Hill,Cone of Meru,,,,,,,,,,,,,,,,,,,,,,,
221022,Great Hanish Island,Shield volcano of Hanish,,,,,,,,,,,,,,,,,,,,,,,
360010,Great Hill,Dome of Saba,,,,,,,,,,,,,,,,,,,,,,,
324020,Great Rift Zone,Fissure vent of Craters of the Moon,,,,,,,,,,,,,,,,,,,,,,,
311120,Great Sitchin,Synonym of Great Sitkin,,,,,,,,,,,,,,,,,,,,,,,
311120,Great Sitkin,Stratovolcano,2018,United States,Alaska,Aleutian Islands,52.076,-176.13,1740,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Trachyte / Trachydacite, , , , ,0,0,0,0
300170,Greben',Dome of Uzon,,,,,,,,,,,,,,,,,,,,,,,
300660,Grechishkina,Shield volcano of Snezhniy,,,,,,,,,,,,,,,,,,,,,,,
322110,Green Butte,Cone of Newberry,,,,,,,,,,,,,,,,,,,,,,,
241020,Green Hill,Cone of Auckland Field,,,,,,,,,,,,,,,,,,,,,,,
360170,Green Island,Dome of St. Catherine,,,,,,,,,,,,,,,,,,,,,,,
241050,Green Lake Plug,Dome of Okataina,,,,,,,,,,,,,,,,,,,,,,,
242030,Green Lake Pumice Crater,Crater of Raoul Island,,,,,,,,,,,,,,,,,,,,,,,
259010,"Greenock, Mount",Cone of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
311300,Grewingk,Synonym of Castle Rock,,,,,,,,,,,,,,,,,,,,,,,
312190,Griggs,Stratovolcano,-1790,United States,Alaska,Alaska Peninsula,58.354,-155.092,2317,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,0,0,0,654
233001,"Grille, La",Shield,Unknown,Comoros,Middle East and Indian Ocean,Indian Ocean (western),-11.47,43.33,1087,Intraplate / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,154373,154373,243474,371795
371060,Grimsnes,Crater rows,-3500,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),64.05,-20.883,200,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,6253,6253,11236,197798
373010,Grimsvotn,Caldera,2011,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.416,-17.316,1719,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,1736
357150,Gris,Crater of Puyehue-Cordon Caulle,,,,,,,,,,,,,,,,,,,,,,,
357130,"Gris, Crater",Pyroclastic cone of Mocho-Choshuenco,,,,,,,,,,,,,,,,,,,,,,,
320031,Grizzly Butte,Shield volcano of Tuya Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
371020,Grjothryggur,Submarine crater of Reykjanes,,,,,,,,,,,,,,,,,,,,,,,
221116,Groppo,Stratovolcano,Unknown,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,11.816,40.242,852,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite, , , , , , , , , ,2411,10358,93790,2462199
233020,"Gros Benard, Le","Crater of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
360060,Gros Fougas,Pyroclastic cone of Soufrière Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,
213002,Gros Hasan Dagi,Dome of Hasan Dagi,,,,,,,,,,,,,,,,,,,,,,,
233020,Gros Piton,"Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
360140,Gros Piton,Dome of Qualibou,,,,,,,,,,,,,,,,,,,,,,,
300140,Grosse Ssemjatschik,Synonym of Maly Semyachik,,,,,,,,,,,,,,,,,,,,,,,
211010,Grotta del Cane,Crater of Campi Flegrei,,,,,,,,,,,,,,,,,,,,,,,
285050,Ground Crater,Crater of Tokachidake,,,,,,,,,,,,,,,,,,,,,,,
323170,Groundhog,Pyroclastic cone of Golden Trout Creek,,,,,,,,,,,,,,,,,,,,,,,
322160,Grouse Hill,Dome of Crater Lake,,,,,,,,,,,,,,,,,,,,,,,
323080,Growler Hot Springs,Hot Spring of Lassen Volcanic Center,,,,,,,,,,,,,,,,,,,,,,,
290070,Grozny,Dome of Etorofu-Yakeyama [Grozny Group],,,,,,,,,,,,,,,,,,,,,,,
390070,Grupo Tule del Sur,Synonym of Southern Thule,,,,,,,,,,,,,,,,,,,,,,,
263170,Gua Waled,Synonym of Gua Walet,,,,,,,,,,,,,,,,,,,,,,,
263170,Gua Walet,Crater of Cereme,,,,,,,,,,,,,,,,,,,,,,,
351080,"Guaca, La",Cone of Galeras,,,,,,,,,,,,,,,,,,,,,,,
341061,"Guacamaya, Cerro la",Cone of Zitácuaro-Valle de Bravo,,,,,,,,,,,,,,,,,,,,,,,
342170,"Guacamayas, Cerro de las",Pyroclastic cone of Chingo,,,,,,,,,,,,,,,,,,,,,,,
343041,"Guacamayero, Cerro",Pyroclastic cone of Coatepeque Caldera,,,,,,,,,,,,,,,,,,,,,,,
352040,Guacamayo,Synonym of Sumaco,,,,,,,,,,,,,,,,,,,,,,,
358025,"Guacha, Loma",Pyroclastic cone of Crater Basalt Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
345020,Guachipelín,Pleistocene caldera of Rincon de la Vieja,,,,,,,,,,,,,,,,,,,,,,,
341060,"Guaco, Cerro el",Dome of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
341006,Guadalupe,Shield,Unknown,Mexico,México and Central America,Mexico,29.07,-118.28,1100,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,0,0,0,0
343070,"Guadalupe, Cerro de",Pyroclastic cone of San Vicente,,,,,,,,,,,,,,,,,,,,,,,
352020,Guagua Pichincha,Stratovolcano,2002,Ecuador,South America,Ecuador,-0.171,-78.598,4784,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,449,32488,2064475,3581801
352040,Guagua Sumaco,Cone of Sumaco,,,,,,,,,,,,,,,,,,,,,,,
354010,Guagua-Putina,"Synonym of Misti, El",,,,,,,,,,,,,,,,,,,,,,,
383030,Guajara,Pleistocene caldera of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
355020,Guallatiri,Stratovolcano,1960,Chile,South America,"Northern Chile, Bolivia and Argentina",-18.42,-69.092,6071,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,0,63,2290,45906
357023,"Guanaqueros, Volcán","Pyroclastic cone of Atuel, Caldera del",,,,,,,,,,,,,,,,,,,,,,,
233020,"Guanyin, Piton","Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
345050,Guararí,Pyroclastic cone of Barva,,,,,,,,,,,,,,,,,,,,,,,
341080,"Guarda, Cerro el",Cone of Chichinautzin,,,,,,,,,,,,,,,,,,,,,,,
211042,"Guardia, Monte",Dome of Lipari,,,,,,,,,,,,,,,,,,,,,,,
345060,"Guardián, Cerro",Pyroclastic cone of Irazu,,,,,,,,,,,,,,,,,,,,,,,
211030,"Guardiola, La",Cone of Ischia,,,,,,,,,,,,,,,,,,,,,,,
383060,"Guatisea, Montaña",Cone of Lanzarote,,,,,,,,,,,,,,,,,,,,,,,
342200,"Guatojón, Cerro",Pyroclastic cone of Chiquimula Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
344090,"Guatusa, Loma la",Dome of Momotombo,,,,,,,,,,,,,,,,,,,,,,,
345033,Guatusos Peak,Synonym of Arenal,,,,,,,,,,,,,,,,,,,,,,,
341120,"Guayabál, El","Tuff cone of Chichon, El",,,,,,,,,,,,,,,,,,,,,,,
345030,Guayabo,Pleistocene caldera of Miravalles,,,,,,,,,,,,,,,,,,,,,,,
355093,Guayaques,Lava dome(s),Unknown,Chile-Bolivia,South America,"Northern Chile, Bolivia and Argentina",-22.895,-67.566,5598,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,2,26,408,9770
354030,Guayta,Synonym of Huaynaputina,,,,,,,,,,,,,,,,,,,,,,,
343052,Guazapa,Stratovolcano,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.9,-89.12,1438,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,6492,94131,2488228,6800406
223030,Guberabia,Cone of Nyiragongo,,,,,,,,,,,,,,,,,,,,,,,
221210,Gudda,Synonym of Boset,,,,,,,,,,,,,,,,,,,,,,,
306040,Guduack,Cone of Halla,,,,,,,,,,,,,,,,,,,,,,,
343140,"Gueguensi, Isla","Cone of Zacate Grande, Isla",,,,,,,,,,,,,,,,,,,,,,,
233020,"Gueuie Ronde, Piton","Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
221124,Gufa,Volcanic field,Unknown,Eritrea-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.55,42.53,600,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,1651,1651,6301,186649
284190,Guguan,Stratovolcano,1883,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.307,145.845,287,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
382010,"Guia, Monte de",Tuff cone of Fayal,,,,,,,,,,,,,,,,,,,,,,,
272080,"Guianason, Mount",Thermal of Biliran,,,,,,,,,,,,,,,,,,,,,,,
281031,Guieshan,Synonym of Kueishantao,,,,,,,,,,,,,,,,,,,,,,,
343001,Güija Volcanic Field,Synonym of San Diego,,,,,,,,,,,,,,,,,,,,,,,
382050,Guilherme Moniz,Stratovolcano of Terceira,,,,,,,,,,,,,,,,,,,,,,,
383030,"Güímar, Volcán de",Pyroclastic cone of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
357140,"Guindos, Los",Stratovolcano of Carrán-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
344111,"Guinea, La",Dome of Zapatera,,,,,,,,,,,,,,,,,,,,,,,
272010,"Guinsayawan, Mount",Cone of Cuernos de Negros,,,,,,,,,,,,,,,,,,,,,,,
271080,"Guinsiliban, Mount","Synonym of Ginsiliban, Mount",,,,,,,,,,,,,,,,,,,,,,,
272010,Guintabon Dome,Dome of Cuernos de Negros,,,,,,,,,,,,,,,,,,,,,,,
281031,Guishan,Synonym of Kueishantao,,,,,,,,,,,,,,,,,,,,,,,
272080,Guiso del Monte Panámao,Thermal of Biliran,,,,,,,,,,,,,,,,,,,,,,,
213030,Gulizar,Crater of Tendurek Dagi,,,,,,,,,,,,,,,,,,,,,,,
370030,Gullborg,Cone of Ljosufjoll,,,,,,,,,,,,,,,,,,,,,,,
371020,Gullholl,Submarine crater of Reykjanes,,,,,,,,,,,,,,,,,,,,,,,
252010,Gulu,Cone of Langila,,,,,,,,,,,,,,,,,,,,,,,
272080,Gumansan,Dome of Biliran,,,,,,,,,,,,,,,,,,,,,,,
221115,Gumatmali,Fissure vent of Manda Hararo,,,,,,,,,,,,,,,,,,,,,,,
263260,Gumawang,Crater of Lawu,,,,,,,,,,,,,,,,,,,,,,,
263060,Gumuruh,Crater of Gede-Pangrango,,,,,,,,,,,,,,,,,,,,,,,
320170,Gun Creek,Synonym of Bridge River Cones,,,,,,,,,,,,,,,,,,,,,,,
213004,Güneydag,Dome of Acigöl-Nevsehir,,,,,,,,,,,,,,,,,,,,,,,
275110,Gungpo,Synonym of Tengchong,,,,,,,,,,,,,,,,,,,,,,,
285061,Gunkan-yama,Dome of Maruyama,,,,,,,,,,,,,,,,,,,,,,,
372070,Gunnarsholtshraun,Fissure vent of Hekla,,,,,,,,,,,,,,,,,,,,,,,
263140,Guntur,Crater of Galunggung,,,,,,,,,,,,,,,,,,,,,,,
263130,Guntur,Complex,1847,Indonesia,Indonesia,Java,-7.143,107.84,2249,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,4652,218012,3412038,24486191
263310,Gunturan,Dome of Tengger Caldera,,,,,,,,,,,,,,,,,,,,,,,
265030,Gunung Api North of Wetar,Synonym of Gunungapi Wetar,,,,,,,,,,,,,,,,,,,,,,,
264110,Gunungapi,Synonym of Iya,,,,,,,,,,,,,,,,,,,,,,,
264020,Gunungapi,Synonym of Agung,,,,,,,,,,,,,,,,,,,,,,,
264230,Gunungapi,Synonym of Lewotolo,,,,,,,,,,,,,,,,,,,,,,,
264050,Gunungapi Bima,Synonym of Sangeang Api,,,,,,,,,,,,,,,,,,,,,,,
265030,Gunungapi Wetar,Stratovolcano,1699,Indonesia,Indonesia,Banda Sea,-6.642,126.65,282,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,2,2,2,2
263280,Gupit,Crater of Kelut,,,,,,,,,,,,,,,,,,,,,,,
285050,Guraundo-kako,Synonym of Ground Crater,,,,,,,,,,,,,,,,,,,,,,,
305020,Gushan,Pyroclastic cone of Keluo Group,,,,,,,,,,,,,,,,,,,,,,,
282020,Gusuku,Tuff ring of Io-Torishima,,,,,,,,,,,,,,,,,,,,,,,
234020,"Guynemer, Massif",Stratovolcano of Kerguelen Islands,,,,,,,,,,,,,,,,,,,,,,,
357030,"Guzmanes, Los",Stratovolcano of Tinguiririca,,,,,,,,,,,,,,,,,,,,,,,
372050,Gvendarhyran,Tuya of Torfajokull,,,,,,,,,,,,,,,,,,,,,,,
371030,Gvendarselsgigar,Crater Row of Krysuvík,,,,,,,,,,,,,,,,,,,,,,,
223040,Gwanguoa,Cone of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
284010,Gyojanoiwaya,Stratovolcano of Izu-Oshima,,,,,,,,,,,,,,,,,,,,,,,
282050,Gyoko,Stratovolcano of Kuchinoerabujima,,,,,,,,,,,,,,,,,,,,,,,
329020,Gyp,Crater of San Francisco Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
373010,Haabunga,Cone of Grimsvotn,,,,,,,,,,,,,,,,,,,,,,,
373030,Haahraun,Fissure vent of Bardarbunga,,,,,,,,,,,,,,,,,,,,,,,
372070,Haahraun,Fissure vent of Hekla,,,,,,,,,,,,,,,,,,,,,,,
284010,Habuminato,Crater of Izu-Oshima,,,,,,,,,,,,,,,,,,,,,,,
283010,Haccho-rindo,Vent of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
283010,Hachigakubo Group,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
284050,Hachijo-Fuji,Synonym of Hachijojima,,,,,,,,,,,,,,,,,,,,,,,
284050,Hachijojima,Stratovolcano(es),1606,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.137,139.766,854,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,11275,13560,13564,14082
284050,Hachijo-jima,Synonym of Hachijojima,,,,,,,,,,,,,,,,,,,,,,,
284050,Hachijo-jima Nishi-yama,Synonym of Hachijojima,,,,,,,,,,,,,,,,,,,,,,,
282050,Hachikubo,Stratovolcano of Kuchinoerabujima,,,,,,,,,,,,,,,,,,,,,,,
283010,Hachikubo-yama,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
282100,Hachimaki-yama,Dome of Unzendake,,,,,,,,,,,,,,,,,,,,,,,
282130,Hachiman-jigoku,Thermal of Yufu-Tsurumi,,,,,,,,,,,,,,,,,,,,,,,
283250,Hachimantai,Stratovolcano,-5350,Japan,"Japan, Taiwan, Marianas",Honshu,39.958,140.854,1613,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,268,1261,89833,3131126
284050,Hachiman-yama,Cone of Hachijojima,,,,,,,,,,,,,,,,,,,,,,,
282100,Hachinokubo,Vent of Unzendake,,,,,,,,,,,,,,,,,,,,,,,
283010,Hachi-yama,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
283121,Hachi-yama,Pyroclastic cone of Shiga,,,,,,,,,,,,,,,,,,,,,,,
283010,Hachiyama-Higashioku,Cone of Izu-Tobu,,,,,,,,,,,,,,,,,,,,,,,
283030,Hachiyo-take,Synonym of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
341060,Hacienda de Jarideo Group,Thermal of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
341060,Hacienda del Agua Fría Group,Thermal of Michoacan-Guanajuato,,,,,,,,,,,,,,,,,,,,,,,
321060,Hackamore Creek,Cone of West Crater,,,,,,,,,,,,,,,,,,,,,,,
390829,Haddington,Shield volcano of James Ross Island,,,,,,,,,,,,,,,,,,,,,,,
243130,Hades,Vent of West Mata,,,,,,,,,,,,,,,,,,,,,,,
263020,"Hadji, Kawah","Synonym of Haji, Kawah",,,,,,,,,,,,,,,,,,,,,,,
371080,Hagafell,Shield volcano of Langjokull,,,,,,,,,,,,,,,,,,,,,,,
371030,Hagafell,Shield volcano of Krysuvík,,,,,,,,,,,,,,,,,,,,,,,
371050,Hagavikurhraun,Fissure vent of Hengill,,,,,,,,,,,,,,,,,,,,,,,
360110,Hagley,"Dome of Plat Pays, Morne",,,,,,,,,,,,,,,,,,,,,,,
373080,Hágöng,Dome of Krafla,,,,,,,,,,,,,,,,,,,,,,,
373030,Hagonguhraun,Fissure vent of Bardarbunga,,,,,,,,,,,,,,,,,,,,,,,
283030,Hagoromo-yama,Synonym of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
312020,Hague,Stratovolcano of Emmons Lake,,,,,,,,,,,,,,,,,,,,,,,
231120,Haid al-Isi,"Synonym of Esi, Jabal el-",,,,,,,,,,,,,,,,,,,,,,,
231160,Haid el-'Arqub,"Cone of Sawâd, Harra es-",,,,,,,,,,,,,,,,,,,,,,,
231120,Haid El-esi,"Synonym of Esi, Jabal el-",,,,,,,,,,,,,,,,,,,,,,,
282070,Haimon-dake,Synonym of Kaimondake,,,,,,,,,,,,,,,,,,,,,,,
372010,Háin,Tuff ring of Vestmannaeyjar,,,,,,,,,,,,,,,,,,,,,,,
275001,Hainan Volcanic Field,Pyroclastic cone(s),1933,China,Philippines and SE Asia,Southeast Asia,19.905,110.229,196,Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,1731229,1731229,1731229,6213231
241050,Hainini,Dome of Okataina,,,,,,,,,,,,,,,,,,,,,,,
332040,Hainoa Crater,Crater of Hualalai,,,,,,,,,,,,,,,,,,,,,,,
357153,Haique,Cone of Antillanca Group,,,,,,,,,,,,,,,,,,,,,,,
332030,"Haiwahine, Puu",Cone of Mauna Kea,,,,,,,,,,,,,,,,,,,,,,,
263020,"Haji, Kawah",Crater of Karang,,,,,,,,,,,,,,,,,,,,,,,
283271,Hakka,Stratovolcano of Towada,,,,,,,,,,,,,,,,,,,,,,,
283030,Hakken-yama,Cone of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
283280,Hakkoda Group,Synonym of Hakkodasan,,,,,,,,,,,,,,,,,,,,,,,
283280,Hakkoda-odake,Stratovolcano of Hakkodasan,,,,,,,,,,,,,,,,,,,,,,,
283280,Hakkodasan,Stratovolcano(es),1550,Japan,"Japan, Taiwan, Marianas",Honshu,40.659,140.877,1585,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,225,730,476624,1921667
283020,Hakone,Synonym of Hakoneyama,,,,,,,,,,,,,,,,,,,,,,,
283020,Hakone,Caldera of Hakoneyama,,,,,,,,,,,,,,,,,,,,,,,
283020,Hakoneyama,Complex,2015,Japan,"Japan, Taiwan, Marianas",Honshu,35.233,139.021,1438,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,14140,53755,1543563,30282197
283030,Hakudairyuo,Cone of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
290350,Hakuen,Synonym of Karpinsky Group,,,,,,,,,,,,,,,,,,,,,,,
290350,Hakuen-zan,Synonym of Karpinsky Group,,,,,,,,,,,,,,,,,,,,,,,
283050,Hakusan,Stratovolcano,1659,Japan,"Japan, Taiwan, Marianas",Honshu,36.155,136.771,2702,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,474,807,63965,5959200
283050,Haku-san,Synonym of Hakusan,,,,,,,,,,,,,,,,,,,,,,,
305060,Hakuto,Synonym of Changbaishan,,,,,,,,,,,,,,,,,,,,,,,
305060,Hakuto-san,Synonym of Changbaishan,,,,,,,,,,,,,,,,,,,,,,,
285060,Hakuun-dake,Dome of Taisetsuzan,,,,,,,,,,,,,,,,,,,,,,,
332060,Halalii,Cone of Haleakala,,,,,,,,,,,,,,,,,,,,,,,
332060,Haleakala,Shield,1750,United States,Hawaii and Pacific Ocean,Hawaiian Islands,20.708,-156.25,3055,Intraplate / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,26074,26074,65398,157582
332010,Halekamahina,Cone of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
332010,Halemaumau,Pit crater of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
212030,Halepa,Dome of Mílos,,,,,,,,,,,,,,,,,,,,,,,
371020,Haleyjabunga,Shield volcano of Reykjanes,,,,,,,,,,,,,,,,,,,,,,,
234060,Half Cone,Tuff cone of Prince Edward Island,,,,,,,,,,,,,,,,,,,,,,,
312090,Half Cone,Cone of Aniakchak,,,,,,,,,,,,,,,,,,,,,,,
324020,Half Cone,Cone of Craters of the Moon,,,,,,,,,,,,,,,,,,,,,,,
306040,Halla,Shield,1007,South Korea,Kamchatka and Mainland Asia,Korea,33.361,126.53,1919,Intraplate / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , ,134,2653,482766,543082
371080,Hallmundarhraun,Shield volcano of Langjokull,,,,,,,,,,,,,,,,,,,,,,,
373010,Halsagigir,Fissure vent of Grimsvotn,,,,,,,,,,,,,,,,,,,,,,,
212030,Halyki,Thermal of Mílos,,,,,,,,,,,,,,,,,,,,,,,
373030,Hamarinn,Stratovolcano of Bardarbunga,,,,,,,,,,,,,,,,,,,,,,,
305040,Hamatang,Pyroclastic cone of Jingbo,,,,,,,,,,,,,,,,,,,,,,,
214070,Hambariana,Cone of Ghegam Ridge,,,,,,,,,,,,,,,,,,,,,,,
259010,"Hamilton, Mount",Cone of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
231120,Hamma al-hamdani,"Synonym of Esi, Jabal el-",,,,,,,,,,,,,,,,,,,,,,,
231120,Hammam el-Zebib,"Thermal of Dhamar, Harras of",,,,,,,,,,,,,,,,,,,,,,,
231120,"Hamman Alessi, Djebel","Synonym of Esi, Jabal el-",,,,,,,,,,,,,,,,,,,,,,,
231120,Hammat Es-Sa'tar,"Cone of Dhamar, Harras of",,,,,,,,,,,,,,,,,,,,,,,
322100,Hamner Butte,Shield volcano of Davis Lake,,,,,,,,,,,,,,,,,,,,,,,
372020,Hamragardarhraun,Fissure vent of Eyjafjallajokull,,,,,,,,,,,,,,,,,,,,,,,
231090,"Hamudi, Jabal al","Stratovolcano of Arhab, Harra of",,,,,,,,,,,,,,,,,,,,,,,
